1,1,Muleng,44.526371,130.263089
2,2,Kiruna,67.8509908,20.2328467
3,3,Várzea Alegre,-6.8272076,-39.2791011
4,4,Naguanagua,10.2683199,-68.0179418
5,5,Insiza,-20.3617008,29.5107708
6,6,Tabuating,15.3993773,120.9422852
7,7,Meybod,32.2487226,54.0079341
8,8,Pepayan,-6.1891552,106.8357854
9,9,Changyanbao,30.688741,109.166598
10,10,Kalenderovci Donji,44.9469715,17.8367375
11,11,Arco de Baúlhe,41.4850622,-7.9607378
12,12,Rungis,48.7381259,2.3536083
13,13,Bolian,23.961903,106.762807
14,14,Rajsko,51.7555981,18.3095531
15,15,Ulimonong,-8.2399,124.4052
16,16,Dīla,6.4126332,38.3007613
17,17,Fargo,46.8843099,-96.7847834
18,18,Alenquer,39.0536743,-9.0097102
19,19,Samran,13.9702519,100.6035503
20,20,Jēkabpils,56.501455,25.878299
21,21,Timashëvsk,45.5946392,38.956757
22,22,Maxixe,-23.8611302,35.3411388
23,23,Sovetskaya,49.0109213,42.1212513
24,24,Papakura,-37.0852788,174.9427335
25,25,An Naşr,32.119799,34.986653
26,26,Jirjā,26.3418755,31.8875679
27,27,"Villa Presidente Frei, Ñuñoa, Santiago, Chile",-33.459409,-70.582502
28,28,Futian,22.521523,114.055023
29,29,Nazca,-14.8358687,-74.9327583
30,30,Cerro Blanco,14.6628087,-87.7787929
31,31,Kökar,59.9207975,20.9091298
32,32,Veracruz,14.8925962,-88.7812586
33,33,Padre Paraíso,-17.0490108,-41.5612423
34,34,Achanizo,-15.81644,-73.968712
35,35,Boafeo,-8.6900261,121.6226051
36,36,Guxian,36.266914,111.920465
37,37,Ishëm,41.5332101,19.6103673
38,38,Maurole,-8.535678,121.8135556
39,39,Shanshi,37.2425649,111.8568586
40,40,Shangshuai,24.245418,112.047678
41,41,Barrosa,38.9587954,-8.755077
42,42,Cipari Satu,-7.428179,108.7437098
43,43,Santa Praxedes,18.5632199,120.9903208
44,44,Jianshan,46.64635,131.158416
45,45,Qizili,24.102499,115.317446
46,46,Petit Raffray,-20.0207751,57.6240731
47,47,Houston,29.82,-95.29
48,48,København,55.6832198,12.5899894
49,49,San Fabian,16.1229667,120.3883934
50,50,Landskrona,55.9118986,12.8316075